,director,films_count,popularity
1544,Peter Howitt,4,14.5572585
354,Craig Gillespie,4,19.906005750000002
963,John Lee Hancock,4,19.912286
962,John Lasseter,4,69.96129725
1492,Patrick Lussier,4,14.41613075
644,Gavin Hood,4,16.786979000000002
1390,Mike Mitchell,4,22.09704375
944,John Ford,4,7.4669795
943,John Erick Dowdle,4,25.88405575
941,John Dahl,4,11.15509275
1385,Mike Judge,4,18.39127175
2002,Uwe Boll,4,9.70214325
913,Joe Johnston,4,28.584858249999996
1543,Peter Hewitt,4,12.421561
364,D.J. Caruso,4,33.2549965
1863,Steven Brill,4,15.0243815
1374,Mikael Håfström,4,27.212349
1859,Steve Oedekerk,4,15.43241125
1852,Steve Carr,4,18.059211250000004
1524,Penny Marshall,4,13.53002975
1843,Stephen Sommers,4,20.84824125
84,Andrew Stanton,4,70.8393245
881,Jerry Zucker,4,31.45692525
1372,Miguel Arteta,4,13.9156195
443,David Lean,4,21.699884750000002
818,James Wong,4,28.46674575
1562,Peter Weir,4,42.02876025
35,Alejandro Amenábar,4,22.3373915
1628,Richard Fleischer,4,12.57144225
724,Hayao Miyazaki,4,67.20951099999999
1736,Russell Mulcahy,4,13.02661825
560,Eric Darnell,4,54.533654
719,Harold Becker,4,10.597838000000003
52,Alfonso Cuarón,4,60.5278445
51,Alexandre Aja,4,20.794805500000002
1724,Ronny Yu,4,12.904610250000001
1719,Ron Shelton,4,8.31904425
1321,Michael Caton-Jones,4,11.852817
600,Frank Darabont,4,72.1914515
1218,Luke Greenfield,4,34.567009
602,Frank Marshall,4,16.356831
1257,Mark L. Lester,4,14.9126845
1697,Robert Wise,4,24.63324825
1665,Rob Zombie,4,15.872433749999999
666,"George Tillman, Jr.",4,24.13100725
626,Gabriele Muccino,4,36.05670675
1300,Matthew Vaughn,4,30.071561000000003
12,Adrian Lyne,4,15.46517275
1274,Martin Brest,4,21.947053500000003
1295,Matt Reeves,4,66.79239275
1622,Richard Brooks,4,7.833906
1618,Richard Attenborough,4,16.20731525
1565,Peyton Reed,4,51.237114749999996
800,James Gray,4,11.69820025
1569,Phil Lord,4,55.356029500000005
1900,Tarsem Singh,4,44.38867275
466,David Twohy,4,28.437825750000002
467,David Wain,4,15.43204225
476,Dean Parisot,4,25.8380775
808,James McTeigue,4,39.965672749999996
75,Andrew Davis,4,29.0755195
1786,Sergio Leone,4,56.454418000000004
485,Dennie Gordon,4,8.7347325
1580,Pierre Morel,4,38.30612725
1777,Sean Anders,4,40.119684750000005
538,Edgar Wright,4,45.649459500000006
782,Jake Kasdan,4,28.65144725
1765,Scott Derrickson,4,36.22446875
770,J.J. Abrams,4,63.0140205
64,Amy Heckerling,4,12.230244250000002
1602,Randall Wallace,4,17.34107475
759,Irwin Winkler,4,9.46043825
1755,Sam Weisman,4,11.187660999999999
1752,Sam Peckinpah,4,6.408165
750,Iain Softley,4,26.2216535
748,Hugh Wilson,4,10.8090525
972,John Moore,4,33.9232815
321,Christopher Guest,4,5.928529
148,Baz Luhrmann,4,47.22611275
1450,Nicolas Winding Refn,4,35.41278225
1910,Terrence Malick,4,29.22459675
1016,Jonathan Frakes,4,15.139041000000002
260,Carlos Saldanha,4,60.79330949999999
1022,Jonathan Levine,4,24.14026475
1024,Jonathan Lynn,4,14.720595750000001
1025,Jonathan Mostow,4,33.3358505
249,Burr Steers,4,26.19628475
1451,Nicole Holofcener,4,8.1366955
1938,Timur Bekmambetov,4,38.65165075
233,Brian Taylor,4,39.947291500000006
995,Jon Amiel,4,18.9244475
171,Betty Thomas,4,17.39043725
