,actor,popularity,rating,ROI,movies count
61,adam greaves-neal,1.884558,6.212653010594942,-64.91675135135135,1
62,adam lamberg,11.927667,6.10050018905454,226.67326470588236,1
63,adam levine,35.735689,6.802024848716379,693.3107625,1
64,adam pascal,10.433667,6.270676557213724,-20.823449999999998,1
65,adam rayner,8.302951,6.170335093066548,193.9471840162329,1
66,adam sandler,36.40503258333333,6.129278395601086,198.4348223856944,24
67,adam scott,20.169673,6.040954420007409,123.75120951879698,5
68,adam trese,12.92384,6.042670635814207,372.2563544991399,2
69,adam west,9.815394,6.189916401789734,95.90026515036325,1
70,adams cole,26.251217,5.938823194177757,294.23016538461536,1
71,adams jason,20.601483,6.3511566091992835,4708.5088,1
72,adams jimmy,1.20173,6.216196295912324,127.56168734479341,1
73,adams kristy,34.868590000000005,6.158527403346772,586.5552485380117,1
74,adams laura,25.682509,6.524651771240741,-11.6935625,1
75,adams om,18.70031,6.278577270491742,58.667213333333336,1
76,adams ryan,8.148187,6.114502057991351,193.94718580347913,1
77,adams viola,20.975165,6.439505219826625,154.53617,1
78,adar beck,20.265518,6.3378672927161706,193.9474002043857,1
79,adeel akhtar,20.544999,6.434939070904642,341.2588380941752,1
80,adelaide clemens,23.292761,5.855374663591457,161.51398,1
81,adelaide kane,54.40303299999999,6.062583453548746,2877.6209000000003,1
82,adele mara,3.851,6.207077794499112,680.0,1
83,adewale akinnuoye-agbaje,28.650589666666665,5.92285454258398,-25.3332431002331,3
84,adil koukouh,1.233688,6.24095283591314,193.9471776966033,1
85,aditya roy,3.3531760000000004,6.276762844501806,497.4025974025974,1
86,adolfo celi,31.036,6.309345689480482,2467.193781818182,1
87,adolphe menjou,1.199451,6.2071106228594966,193.94717862203393,1
88,adrian dunbar,0.301884,6.213212158412997,-97.12384,1
89,adrian grenier,4.1760660000000005,6.2069620812375454,183.65462425349395,1
90,adrian holmes,6.814247,6.164305532250033,193.94720191054353,1
91,adrian james,0.583446,6.207224553668745,193.94717098385757,1
92,adrian paul,11.782725,6.044423961388682,-36.625567999999994,1
93,adriana barraza,1.771584,6.239199673635335,162.6197450367214,1
94,adriana caselotti,80.171283,6.654610408718805,12324.256142239135,1
95,adrianne palicki,59.325589,5.608016012623937,186.05867538461538,1
96,adrien brody,26.85071527272727,6.343777358233783,132.4060692519746,11
97,adrien dorval,4.009379,6.171382915682065,186.8907036439852,1
98,adrienne barbeau,14.0899435,6.272949503538443,1100.3477687500001,2
99,adrienne king,16.517777,6.159461722668526,1637.8220800000001,1
100,adrienne pickering,7.245108,6.118360382578422,193.9472242732289,1
101,adrián alonso,31.054334000000004,6.066065492250406,89.86675333333334,1
102,affleck liv,58.485967,6.342713831099246,295.57111857142854,1
103,agata kulesza,13.265432,6.38447729117751,395.53554888666594,1
104,agata trzebuchowska,13.265432,6.38447729117751,395.53554888666594,1
105,aghdashloo jason,5.75555,6.232286804392455,193.94720995486892,1
106,agnes bruckner,12.295216,6.145527925631081,193.94720509039416,1
107,agniya ditkovskite,7.182761,6.124500670332327,192.28427475245303,1
108,aguilar christopher,3.4679230000000003,6.229087314084773,193.94717411636154,1
109,aguilera eric,22.863516,6.451857825904214,62.76322363636364,1
110,ahmad khan,10.446722,6.505446850029458,266.380235,1
111,ahmed alan,1.7354619999999998,6.194023822115602,193.94717053446863,1
112,ahn sung-ki,2.60632,6.217500233249107,180.14878618768805,1
113,ahney her,50.7453,7.395663745513186,718.0552363636364,1
114,aidan devine,1.428483,6.19278474947998,-82.78640664614612,1
115,aidan gillen,15.66135,6.11942145782877,-13.598370000000001,1
116,aidan mcardle,18.591657,6.34223046434477,193.9473433897774,1
117,aidan quinn,14.908743000000001,6.294217047282782,167.7813099542872,6
118,aiden lovekamp,20.326337,5.855713113107587,2756.35984,1
119,aiken paul,49.078546,6.76058544966739,126.2518475,1
120,aimee garcia,8.178446,6.161132744466152,53.31641458572336,3
121,aimee teegarden,11.837067,6.149886192096738,26.625,1
122,aishwarya rai,12.282911,6.00848468690735,-62.234271641791054,1
123,aj bowen,8.628485000000001,6.174551123851273,193.94725425920117,1
124,aj michalka,2.160586,6.202667831883183,193.94717681843298,1
125,aja naomi,9.452808,6.249727403454836,86.60665882352941,1
126,ajay naidu,18.366362,6.803650119734542,28.27813,1
127,akihiro miwa,49.549984,7.5119583201060625,877.9602291666666,1
128,akiko wakabayashi,28.675891,6.305607369666374,1074.576705263158,1
129,akon laura,11.431434,5.957835473048459,183.65480327129288,1
