,title,release_date,popularity,ROI,rating,orginal_title,renew,reboot
187,Insidious,2015.0,45.946524,943.0385100000001,6.20377041389205,Insidious: Chapter 3,,0.0
188,Iron Man,2008.0,120.725053,317.98158714285717,7.272548875579335,Iron Man,,0.0
189,Iron Man,2010.0,77.30019399999998,211.9666655,6.547799120324413,Iron Man 2,,0.0
191,Iron Man,2013.0,77.68208,507.719997,6.736857269829803,Iron Man 3,,0.0
192,Jackass,2002.0,14.752587,1185.64624,6.180763621105762,Jackass: The Movie,,0.0
193,Jackass,2006.0,11.227087,561.6246545454546,6.249900038162121,Jackass Number Two,,0.0
195,Jackass,2010.0,20.99174,486.12135500000005,6.26310233521146,Jackass 3D,,0.0
196,Jaws,1975.0,50.152327,6623.628571428571,7.122122842829214,Jaws,,0.0
197,Jaws,1978.0,19.636044,839.420035,6.121610749617128,Jaws 2,,0.0
199,Jaws,1987.0,12.777008,125.56962173913044,5.731291406155838,Jaws: The Revenge,,0.0
200,Jeepers Creepers,2001.0,23.316208,492.17788999999993,6.163652684430812,Jeepers Creepers,,0.0
201,Jeepers Creepers,2003.0,19.045146,271.1921529411765,6.050530208630494,Jeepers Creepers 2,,0.0
202,Jurassic Park,1993.0,40.413191,1360.4761904761904,7.352398450972323,Jurassic Park,,0.0
203,Jurassic Park,1997.0,2.502487,213.80071780821916,6.202167161844088,The Lost World: Jurassic Park,,0.0
205,Jurassic Park,2001.0,1.859364,296.53850430107525,5.870343860390962,Jurassic Park III,,0.0
206,Kevin Hart,2011.0,5.498834,193.947185332459,6.266024932701316,Kevin Hart: Laugh at My Pain,,0.0
207,Kevin Hart,2013.0,9.799357,33.81475581402865,6.2813670318275445,Kevin Hart: Let Me Explain,,0.0
208,Kick-Ass,2010.0,45.054936,243.53179642857143,6.935410930894212,Kick-Ass,,0.0
209,Kick-Ass,2013.0,40.28635,116.78571428571429,6.270270388345308,Kick-Ass 2,,0.0
210,Kill Bill,2003.0,79.75496600000002,503.16333333333336,7.438733997573353,Kill Bill: Vol. 1,,0.0
211,Kill Bill,2004.0,50.622607,407.19820333333337,7.307416016695185,Kill Bill: Vol. 2,,0.0
212,Kung Fu Panda,2008.0,84.68964799999998,385.95735384615386,6.726618653502393,Kung Fu Panda,,0.0
213,Kung Fu Panda,2011.0,51.247321,343.794854,6.523435239400184,Kung Fu Panda 2,,0.0
215,Kung Fu Panda,2016.0,56.747978,259.4281551724138,6.505000094776682,Kung Fu Panda 3,,0.0
216,Lara Croft,2001.0,41.498631,138.8724695652174,5.864301434744768,Lara Croft: Tomb Raider,,0.0
217,Lara Croft,2003.0,56.81105600000001,64.74251368421052,5.800917849044788,Lara Croft Tomb Raider: The Cradle of Life,,0.0
218,Legally Blonde,2001.0,25.43954,687.6371055555555,6.158315347537545,Legally Blonde,,0.0
219,Legally Blonde,2003.0,4.340616000000002,177.5885377777778,5.914761914115303,"Legally Blonde 2: Red, White & Blonde",,0.0
220,Lethal Weapon,1992.0,36.172182,819.2329342857142,6.291276330705287,Lethal Weapon 3,,0.0
221,Lethal Weapon,1998.0,24.855701,103.88900214285715,6.246431068487913,Lethal Weapon 4,,0.0
222,Mad Max,1979.0,33.142185,24900.0,6.417792864093035,Mad Max,,0.0
223,Mad Max,1981.0,37.117362,1130.0416,6.728333458616112,Mad Max 2: The Road Warrior,,0.0
225,Mad Max,1985.0,36.582038,194.42242316722337,6.079457870657696,Mad Max Beyond Thunderdome,,0.0
227,Mad Max,2015.0,198.372395,152.57222666666667,7.100512098066482,Mad Max: Fury Road,,0.0
228,Madagascar,2005.0,48.110909,610.2408946666667,6.5038174134458915,Madagascar,,0.0
229,Madagascar,2008.0,44.141021,302.600236,6.202680157847041,Madagascar: Escape 2 Africa,,0.0
231,Madagascar,2012.0,44.989192,415.11812,6.329204076781853,Madagascar 3: Europe's Most Wanted,,0.0
232,Maze Runner,2014.0,131.815575,924.4701794117648,6.870373034020018,The Maze Runner,,0.0
233,Maze Runner,2015.0,113.161483,410.2572557377049,6.350529401330694,Maze Runner: The Scorch Trials,,0.0
234,Men in Black,1997.0,104.121555,554.8783766666667,6.76683728514144,Men in Black,,0.0
235,Men in Black,2002.0,91.332849,215.58485928571426,6.052273115139899,Men in Black II,,0.0
237,Men in Black,2012.0,52.035179,177.34523377777776,6.201471257474575,Men in Black 3,,0.0
238,Miss Congeniality,2000.0,32.624355,371.11111111111114,6.156024491020656,Miss Congeniality,,0.0
239,Miss Congeniality,2005.0,19.998581,193.94735638309194,5.945874746740703,Miss Congeniality 2: Armed and Fabulous,,0.0
240,Mission,1996.0,75.290998,472.12044875,6.559458096018076,Mission: Impossible,,0.0
241,Mission,2000.0,54.931334,337.110484,6.00834964789877,Mission: Impossible II,,0.0
242,Mission,2006.0,63.079003,165.23334133333333,6.400151153814989,Mission: Impossible III,,1.0
243,Mission,2011.0,77.77476999999998,379.11267586206895,6.676078305743237,Mission: Impossible - Ghost Protocol,,1.0
245,Mission,2015.0,114.52223700000002,354.8867593333333,6.880689108900921,Mission: Impossible - Rogue Nation,,1.0
246,Mortal Kombat,1995.0,16.470895000000002,578.8662222222223,5.968140248956125,Mortal Kombat,,0.0
247,Mortal Kombat,1997.0,11.916389,71.25620333333333,5.788721676980754,Mortal Kombat: Annihilation,,0.0
248,My Big Fat Greek Wedding,2002.0,18.115566,7274.880880000001,6.204453952029366,My Big Fat Greek Wedding,,0.0
249,My Big Fat Greek Wedding,2016.0,16.027955,394.01806111111114,6.041301203675319,My Big Fat Greek Wedding 2,,0.0
250,Neighbors,2014.0,36.471231,1389.7633333333333,6.20203700543251,Neighbors,,0.0
251,Neighbors,2016.0,50.179171,210.73863142857144,5.853847631943685,Neighbors 2: Sorority Rising,,0.0
252,Night at the Museum,2006.0,48.780039,422.25531,6.275118929305352,Night at the Museum,,0.0
253,Night at the Museum,2009.0,81.781591,175.40411333333333,6.006807431791638,Night at the Museum: Battle of the Smithsonian,,0.0
255,Night at the Museum,2014.0,115.597753,175.13722992125983,6.138836694740619,Night at the Museum: Secret of the Tomb,,0.0
256,Now You See Me,2013.0,71.124686,56.93185866666667,7.124486041218073,Now You See Me,,0.0
257,Now You See Me,2016.0,51.535701,272.11259666666666,6.579268436742716,Now You See Me 2,,0.0
258,Nutty Professor,1996.0,20.28119,138.46175,5.88382719831195,The Nutty Professor,,0.0
259,Nutty Professor,2000.0,17.783361,46.79517261904762,5.845199168916453,Nutty Professor II: The Klumps,,0.0
260,Paranormal Activity,2007.0,47.456823,1288938.6666666667,6.036375845918232,Paranormal Activity,,0.0
261,Paranormal Activity,2010.0,22.789649,5817.067733333333,6.000601157698949,Paranormal Activity 2,,0.0
263,Paranormal Activity,2011.0,29.15813,4014.07636,6.087705207354589,Paranormal Activity 3,,0.0
265,Paranormal Activity,2012.0,20.326337,2756.35984,5.855713113107587,Paranormal Activity 4,,0.0
266,Paul Blart,2009.0,31.25038300000001,604.9735807692308,5.7754435535595965,Paul Blart: Mall Cop,,0.0
